REGN_DT,num_records,num_unique_patients,avg_gender,avg_age,avg_viral_load,avg_alt_level,avg_viral_load_log
2023-08-31,31,29,1.3548387096774193,36.096774193548384,3938.025806451613,35.15483870967742,7.701096884678687
2023-09-30,41,37,1.4146341463414633,40.292682926829265,6564.758536585366,45.29512195121951,8.278255370778195
2023-10-31,66,59,1.4242424242424243,39.24242424242424,7683.662121212122,41.96363636363636,8.433448555695968
2023-11-30,33,31,1.5454545454545454,48.15151515151515,9527.70606060606,45.04848484848485,8.746444205433527
2023-12-31,35,35,1.2571428571428571,40.6,5544.285714285715,39.142857142857146,8.076041584833101
2024-01-31,53,52,1.4339622641509433,47.20754716981132,8888.713207547169,43.575471698113205,8.6344249285158
2024-02-29,55,55,1.4727272727272727,46.69090909090909,9454.610909090909,44.89818181818182,8.639820107650404
2024-03-31,25,23,1.56,45.84,10250.616,41.623999999999995,8.588038783285743
2024-04-30,56,55,1.4464285714285714,40.92857142857143,10025.601785714285,39.65535714285714,8.483782182221717
2024-05-31,95,93,1.5052631578947369,46.07368421052632,9927.391578947369,36.31263157894737,8.378514496818852
2024-06-30,70,65,1.4,42.18571428571428,9385.697142857143,36.675714285714285,8.349234361756203
2024-07-31,91,85,1.4285714285714286,43.94505494505494,7170.91978021978,35.363736263736264,8.066016905570638
2024-08-31,96,87,1.3229166666666667,45.302083333333336,8908.511458333332,38.596875000000004,8.22733965989516
2024-09-30,73,71,1.3972602739726028,47.178082191780824,9682.423287671234,35.21232876712329,8.432857503395393
2024-10-31,110,106,1.3909090909090909,49.0,10572.755454545455,37.947272727272725,8.68987209374604
2024-11-30,76,70,1.368421052631579,48.88157894736842,11854.339473684211,41.00394736842105,8.900917512458074
2024-12-31,145,134,1.3655172413793104,44.827586206896555,9874.46,35.60068965517242,8.646403942673006
